,Unnamed: 0,unix_s,low,high,open,close,volume,UTC_datetime,Beijing_datetime
58,58,1680480000,27211.8,28531.53,28177.49,27801.67,1098.22894563,2023-04-03,2023-04-03 08:00:00
57,57,1680566400,27669.72,28442.15,27802.08,28171.54,817.15930401,2023-04-04,2023-04-04 08:00:00
56,56,1680652800,27809.39,28780.9,28171.25,28171.49,726.41981228,2023-04-05,2023-04-05 08:00:00
55,55,1680739200,27708.67,28186.48,28168.81,28033.4,492.65690891,2023-04-06,2023-04-06 08:00:00
54,54,1680825600,27776.81,28105.2,28041.01,27911.46,221.26067201,2023-04-07,2023-04-07 08:00:00
53,53,1680912000,27860.56,28157.12,27909.44,27944.44,156.45528583,2023-04-08,2023-04-08 08:00:00
52,52,1680998400,27795.86,28526.56,27941.35,28326.9,268.31675494,2023-04-09,2023-04-09 08:00:00
51,51,1681084800,28168.24,29767.12,28327.41,29641.77,816.79040083,2023-04-10,2023-04-10 08:00:00
50,50,1681171200,29595.92,30558.34,29645.07,30205.59,808.0479908,2023-04-11,2023-04-11 08:00:00
49,49,1681257600,29650.55,30477.44,30212.08,29892.96,570.4309057,2023-04-12,2023-04-12 08:00:00
48,48,1681344000,29853.52,30593.46,29893.0,30381.01,514.03752749,2023-04-13,2023-04-13 08:00:00
47,47,1681430400,29969.67,31025.51,30379.77,30462.85,1102.22328398,2023-04-14,2023-04-14 08:00:00
46,46,1681516800,30208.61,30594.67,30463.77,30296.91,215.08876015,2023-04-15,2023-04-15 08:00:00
45,45,1681603200,30122.44,30550.0,30298.28,30304.26,229.6077231,2023-04-16,2023-04-16 08:00:00
44,44,1681689600,29226.81,30315.06,30303.76,29434.77,661.99523665,2023-04-17,2023-04-17 08:00:00
43,43,1681776000,29100.0,30490.3,29430.57,30377.66,892.98492213,2023-04-18,2023-04-18 08:00:00
42,42,1681862400,28575.73,30413.47,30381.38,28798.68,2196.78001364,2023-04-19,2023-04-19 08:00:00
41,41,1681948800,27997.8,29089.31,28795.42,28247.32,1160.35740824,2023-04-20,2023-04-20 08:00:00
40,40,1682035200,27128.08,28367.51,28249.17,27263.01,1913.50738638,2023-04-21,2023-04-21 08:00:00
39,39,1682121600,27149.33,27882.05,27259.45,27818.69,380.52732744,2023-04-22,2023-04-22 08:00:00
38,38,1682208000,27322.24,27818.85,27818.85,27584.57,390.40034446,2023-04-23,2023-04-23 08:00:00
37,37,1682294400,26957.0,28003.25,27582.82,27509.65,673.57160255,2023-04-24,2023-04-24 08:00:00
36,36,1682380800,27193.59,28391.58,27512.07,28308.28,911.37446457,2023-04-25,2023-04-25 08:00:00
35,35,1682467200,27242.49,30030.95,28316.35,28412.34,2257.36103666,2023-04-26,2023-04-26 08:00:00
34,34,1682553600,28383.67,29890.0,28414.57,29486.6,2488.72570066,2023-04-27,2023-04-27 08:00:00
33,33,1682640000,28888.01,29590.89,29487.24,29314.42,1173.1583324,2023-04-28,2023-04-28 08:00:00
32,32,1682726400,29031.43,29444.62,29316.02,29230.92,352.47174843,2023-04-29,2023-04-29 08:00:00
31,31,1682812800,29086.99,29960.0,29230.84,29204.15,542.50949062,2023-04-30,2023-04-30 08:00:00
30,30,1682899200,27668.86,29335.58,29233.89,28068.52,1624.23924651,2023-05-01,2023-05-01 08:00:00
29,29,1682985600,27875.4,28886.36,28069.21,28668.68,1258.6198371,2023-05-02,2023-05-02 08:00:00
28,28,1683072000,28108.6,29258.71,28670.63,29028.73,1451.33416541,2023-05-03,2023-05-03 08:00:00
27,27,1683158400,28664.45,29382.69,29034.91,28846.63,1029.31624719,2023-05-04,2023-05-04 08:00:00
26,26,1683244800,28800.31,29680.0,28846.81,29511.42,1306.33630408,2023-05-05,2023-05-05 08:00:00
25,25,1683331200,28357.22,29829.47,29507.19,28850.74,616.12831664,2023-05-06,2023-05-06 08:00:00
24,24,1683417600,28395.18,29131.73,28851.85,28430.86,680.62121045,2023-05-07,2023-05-07 08:00:00
23,23,1683504000,27263.78,28629.96,28429.35,27666.75,1621.31412508,2023-05-08,2023-05-08 08:00:00
22,22,1683590400,27356.31,27819.38,27663.52,27634.82,860.13987643,2023-05-09,2023-05-09 08:00:00
21,21,1683676800,26769.01,28315.02,27639.38,27594.55,1761.37492596,2023-05-10,2023-05-10 08:00:00
20,20,1683763200,26704.92,27634.27,27601.1,26971.03,1590.08111769,2023-05-11,2023-05-11 08:00:00
19,19,1683849600,25805.56,27088.89,26972.51,26790.78,1328.45476071,2023-05-12,2023-05-12 08:00:00
18,18,1683936000,26690.07,27058.71,26797.98,26775.62,356.09669044,2023-05-13,2023-05-13 08:00:00
17,17,1684022400,26569.02,27204.43,26766.19,26919.96,423.87629171,2023-05-14,2023-05-14 08:00:00
16,16,1684108800,26729.04,27659.99,26919.95,27162.83,866.4982787,2023-05-15,2023-05-15 08:00:00
15,15,1684195200,26850.0,27298.56,27160.62,27035.12,684.02018165,2023-05-16,2023-05-16 08:00:00
14,14,1684281600,26534.16,27504.74,27038.12,27404.85,737.68811512,2023-05-17,2023-05-17 08:00:00
13,13,1684368000,26362.57,27478.59,27408.71,26822.7,933.81633296,2023-05-18,2023-05-18 08:00:00
12,12,1684454400,26638.44,27184.12,26822.73,26884.93,529.81135181,2023-05-19,2023-05-19 08:00:00
11,11,1684540800,26828.88,27148.45,26881.85,27105.83,195.39181623,2023-05-20,2023-05-20 08:00:00
10,10,1684627200,26663.31,27279.0,27112.6,26736.39,312.73366356,2023-05-21,2023-05-21 08:00:00
9,9,1684713600,26536.82,27095.69,26737.46,26848.5,742.24435115,2023-05-22,2023-05-22 08:00:00
8,8,1684800000,26797.19,27496.6,26851.66,27221.11,560.49013967,2023-05-23,2023-05-23 08:00:00
7,7,1684886400,26073.85,27221.29,27219.46,26326.74,1198.30395885,2023-05-24,2023-05-24 08:00:00
6,6,1684972800,25873.41,26625.8,26322.72,26479.66,680.94874603,2023-05-25,2023-05-25 08:00:00
5,5,1685059200,26331.42,26934.72,26480.21,26705.72,483.32424809,2023-05-26,2023-05-26 08:00:00
4,4,1685145600,26550.0,26894.97,26712.64,26858.36,182.86375187,2023-05-27,2023-05-27 08:00:00
3,3,1685232000,26775.89,28271.94,26859.82,28082.01,712.80623712,2023-05-28,2023-05-28 08:00:00
2,2,1685318400,27530.82,28451.62,28081.19,27736.96,673.15859882,2023-05-29,2023-05-29 08:00:00
1,1,1685404800,27552.65,28040.51,27736.03,27695.3,502.5093722,2023-05-30,2023-05-30 08:00:00
0,0,1685491200,26841.45,27838.36,27689.23,27215.28,991.00743291,2023-05-31,2023-05-31 08:00:00
213,213,1685577600,26611.84,27351.09,27220.14,26822.11,567.22397216,2023-06-01,2023-06-01 08:00:00
212,212,1685664000,26500.0,27300.5,26812.26,27246.64,531.10325978,2023-06-02,2023-06-02 08:00:00
211,211,1685750400,26918.47,27330.65,27235.79,27072.48,133.29356844,2023-06-03,2023-06-03 08:00:00
210,210,1685836800,26951.76,27455.99,27069.27,27105.5,290.83313194,2023-06-04,2023-06-04 08:00:00
209,209,1685923200,25391.74,27128.6,27100.48,25717.89,1328.83137482,2023-06-05,2023-06-05 08:00:00
208,208,1686009600,25341.09,27358.29,25723.5,27237.81,1873.70821149,2023-06-06,2023-06-06 08:00:00
207,207,1686096000,26127.66,27397.02,27248.43,26340.51,1198.95908816,2023-06-07,2023-06-07 08:00:00
206,206,1686182400,26213.99,26815.92,26336.16,26498.7,967.48999869,2023-06-08,2023-06-08 08:00:00
205,205,1686268800,26277.74,26781.87,26500.54,26485.85,986.33919495,2023-06-09,2023-06-09 08:00:00
204,204,1686355200,25360.15,26529.94,26484.14,25848.53,1681.70833867,2023-06-10,2023-06-10 08:00:00
203,203,1686441600,25637.8,26203.88,25844.36,25928.48,617.00117957,2023-06-11,2023-06-11 08:00:00
202,202,1686528000,25606.54,26104.47,25923.3,25907.71,983.75192736,2023-06-12,2023-06-12 08:00:00
201,201,1686614400,25718.62,26437.44,25908.79,25934.73,1386.31007897,2023-06-13,2023-06-13 08:00:00
200,200,1686700800,24821.07,26106.66,25932.5,25113.51,1241.9555282,2023-06-14,2023-06-14 08:00:00
199,199,1686787200,24801.0,25770.4,25105.82,25585.35,1513.47814865,2023-06-15,2023-06-15 08:00:00
198,198,1686873600,25188.0,26519.36,25594.58,26350.39,1665.23329939,2023-06-16,2023-06-16 08:00:00
197,197,1686960000,26183.66,26826.97,26348.46,26519.48,899.16058611,2023-06-17,2023-06-17 08:00:00
196,196,1687046400,26258.68,26701.39,26516.52,26333.28,710.398071,2023-06-18,2023-06-18 08:00:00
195,195,1687132800,26258.98,27070.86,26331.45,26852.92,1259.78095257,2023-06-19,2023-06-19 08:00:00
194,194,1687219200,26653.34,28404.56,26848.32,28318.74,2504.53949597,2023-06-20,2023-06-20 08:00:00
193,193,1687305600,28260.66,30798.33,28319.11,30002.17,3951.65865942,2023-06-21,2023-06-21 08:00:00
192,192,1687392000,29543.71,30505.74,30003.84,29884.44,2208.76832557,2023-06-22,2023-06-22 08:00:00
191,191,1687478400,29798.24,31447.12,29890.37,30688.34,2438.14552459,2023-06-23,2023-06-23 08:00:00
190,190,1687564800,30253.61,30797.91,30691.36,30536.94,620.86564169,2023-06-24,2023-06-24 08:00:00
189,189,1687651200,30279.0,31042.15,30534.32,30466.12,773.9198923,2023-06-25,2023-06-25 08:00:00
188,188,1687737600,29925.0,30663.75,30469.46,30270.46,1113.26915662,2023-06-26,2023-06-26 08:00:00
187,187,1687824000,30228.14,31016.21,30269.67,30694.36,1600.98497312,2023-06-27,2023-06-27 08:00:00
186,186,1687910400,29832.78,30709.2,30695.21,30079.85,1180.03487118,2023-06-28,2023-06-28 08:00:00
185,185,1687996800,30046.81,30838.39,30074.49,30455.18,1261.12136509,2023-06-29,2023-06-29 08:00:00
